epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,11124.4,0.54309,0.39114,0.95534,0.93258,0.83619,0.89086,0.63199,0.96712,0.48525,1.19246,8.48946e-05,8.48946e-05,8.48946e-05
91,11255.8,0.53791,0.32771,0.94052,0.94893,0.80478,0.88009,0.62214,0.98673,0.50037,1.20655,7.7826e-05,7.7826e-05,7.7826e-05
92,11373.3,0.52664,0.31851,0.93535,0.93975,0.81459,0.88145,0.62789,0.98157,0.49357,1.21152,7.07574e-05,7.07574e-05,7.07574e-05
93,11490.9,0.51826,0.31438,0.92583,0.93744,0.82387,0.88615,0.62868,0.99369,0.49554,1.22152,6.36888e-05,6.36888e-05,6.36888e-05
94,11608.3,0.51309,0.31098,0.92583,0.94321,0.81843,0.88363,0.63225,0.96045,0.49163,1.20009,5.66202e-05,5.66202e-05,5.66202e-05
95,11725.9,0.51038,0.306,0.92423,0.93305,0.83379,0.88556,0.63456,0.95196,0.49068,1.19529,4.95516e-05,4.95516e-05,4.95516e-05
96,11843.7,0.50321,0.30426,0.92031,0.95265,0.81436,0.88617,0.63625,0.95008,0.48422,1.19123,4.2483e-05,4.2483e-05,4.2483e-05
97,11961.4,0.49923,0.3009,0.91786,0.94489,0.82426,0.88518,0.63573,0.9587,0.48265,1.19937,3.54144e-05,3.54144e-05,3.54144e-05
98,12078.8,0.49892,0.30471,0.92205,0.96473,0.80632,0.88976,0.63473,0.95486,0.47819,1.20273,2.83458e-05,2.83458e-05,2.83458e-05
99,12196.3,0.49312,0.29744,0.91881,0.94822,0.82194,0.88945,0.63551,0.95912,0.48246,1.20179,2.12772e-05,2.12772e-05,2.12772e-05
100,12313.6,0.48803,0.29504,0.9158,0.95831,0.81295,0.88832,0.63687,0.95098,0.47957,1.19863,1.42086e-05,1.42086e-05,1.42086e-05
