epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3861.11,0.75665,0.59366,1.04515,0.88085,0.78486,0.84436,0.53642,1.23535,0.68244,1.33657,0.000325227,0.000325227,0.000325227
57,3920.94,0.74785,0.58514,1.04489,0.91195,0.77769,0.85526,0.53922,1.22948,0.66578,1.34374,0.000318158,0.000318158,0.000318158
58,3981.18,0.74954,0.582,1.03871,0.90833,0.76217,0.84017,0.55048,1.14554,0.67382,1.26451,0.00031109,0.00031109,0.00031109
59,4042.01,0.74952,0.58435,1.04352,0.88446,0.7877,0.84323,0.55454,1.14731,0.66347,1.27995,0.000304021,0.000304021,0.000304021
60,4102.09,0.73483,0.57183,1.03481,0.89389,0.76639,0.84435,0.55357,1.19928,0.67598,1.29855,0.000296953,0.000296953,0.000296953
61,4162.02,0.73513,0.57027,1.03633,0.88382,0.78154,0.8438,0.5486,1.18675,0.66582,1.29529,0.000289884,0.000289884,0.000289884
62,4222.18,0.7315,0.56767,1.03529,0.91844,0.75892,0.84087,0.54017,1.1879,0.65755,1.31014,0.000282815,0.000282815,0.000282815
63,4282.03,0.72758,0.56582,1.02991,0.9126,0.7552,0.8435,0.53802,1.23732,0.68271,1.34467,0.000275747,0.000275747,0.000275747
64,4342.08,0.7276,0.55478,1.03088,0.91886,0.7676,0.85004,0.56194,1.17978,0.65774,1.31856,0.000268678,0.000268678,0.000268678
65,4401.88,0.71644,0.55389,1.02528,0.92158,0.76749,0.85458,0.5518,1.18351,0.64604,1.31111,0.00026161,0.00026161,0.00026161
66,4462.38,0.72323,0.55791,1.02372,0.90877,0.78232,0.85176,0.55377,1.19725,0.64109,1.31511,0.000254541,0.000254541,0.000254541
67,4522.29,0.71801,0.55595,1.02403,0.9004,0.78196,0.845,0.55218,1.21199,0.65026,1.33574,0.000247472,0.000247472,0.000247472
68,4582.5,0.7147,0.54384,1.02266,0.91205,0.76931,0.84119,0.56832,1.15161,0.64359,1.28382,0.000240404,0.000240404,0.000240404
69,4642.47,0.71128,0.54753,1.01662,0.89915,0.77497,0.85455,0.56326,1.16835,0.6276,1.31207,0.000233335,0.000233335,0.000233335
70,4702.72,0.69837,0.5266,1.01112,0.91409,0.77312,0.85183,0.56041,1.14242,0.62806,1.2816,0.000226267,0.000226267,0.000226267
71,4762.72,0.70478,0.52897,1.01468,0.9244,0.75771,0.84646,0.55656,1.16403,0.62746,1.30298,0.000219198,0.000219198,0.000219198
72,4822.72,0.69751,0.53111,1.01477,0.88891,0.77664,0.84764,0.56288,1.15711,0.63978,1.29385,0.000212129,0.000212129,0.000212129
73,4882.54,0.68618,0.51858,1.0072,0.89775,0.79605,0.85338,0.54692,1.19841,0.63709,1.33204,0.000205061,0.000205061,0.000205061
74,4942.95,0.69025,0.51982,1.00252,0.8947,0.78358,0.84938,0.55916,1.17151,0.61292,1.30191,0.000197992,0.000197992,0.000197992
75,5002.76,0.68962,0.52064,1.00554,0.91603,0.78631,0.86171,0.568,1.14172,0.60055,1.26867,0.000190924,0.000190924,0.000190924
76,5062.81,0.68287,0.51326,1.00499,0.91859,0.78746,0.85796,0.55617,1.19705,0.60733,1.31518,0.000183855,0.000183855,0.000183855
77,5122.73,0.67439,0.51215,1.00052,0.90581,0.77828,0.84841,0.56756,1.12657,0.63061,1.26866,0.000176786,0.000176786,0.000176786
78,5182.96,0.67505,0.50637,1.00074,0.92164,0.77975,0.8597,0.56629,1.16548,0.6013,1.30272,0.000169718,0.000169718,0.000169718
79,5243.01,0.67309,0.50817,0.995,0.9111,0.78712,0.86225,0.56997,1.14628,0.60341,1.27878,0.000162649,0.000162649,0.000162649
80,5303.14,0.66208,0.49666,0.99213,0.91711,0.7904,0.86489,0.57383,1.15416,0.60206,1.29363,0.000155581,0.000155581,0.000155581
81,5363.02,0.66052,0.49915,0.99304,0.90968,0.795,0.86598,0.57143,1.13435,0.58795,1.28046,0.000148512,0.000148512,0.000148512
82,5423.46,0.66476,0.49837,0.99332,0.91869,0.79301,0.86945,0.57415,1.16656,0.57493,1.31342,0.000141443,0.000141443,0.000141443
83,5483.45,0.65096,0.49398,0.98771,0.91002,0.79724,0.86322,0.5847,1.10128,0.57926,1.25635,0.000134375,0.000134375,0.000134375
84,5543.74,0.66269,0.49386,0.99509,0.92122,0.79302,0.8603,0.58425,1.11315,0.57921,1.25518,0.000127306,0.000127306,0.000127306
85,5603.62,0.65338,0.48628,0.9882,0.93202,0.78077,0.85966,0.58467,1.09651,0.57367,1.24324,0.000120238,0.000120238,0.000120238
86,5663.87,0.64659,0.48451,0.9889,0.93756,0.77891,0.8614,0.57296,1.14845,0.5844,1.28097,0.000113169,0.000113169,0.000113169
87,5723.97,0.65154,0.48604,0.98682,0.92417,0.78573,0.86443,0.5814,1.09321,0.56587,1.24868,0.0001061,0.0001061,0.0001061
88,5784.24,0.64146,0.4778,0.98165,0.93499,0.77599,0.86599,0.58295,1.10497,0.57948,1.25388,9.90318e-05,9.90318e-05,9.90318e-05
89,5844.03,0.63859,0.47927,0.98589,0.92701,0.78317,0.86878,0.58681,1.0928,0.56908,1.2344,9.19632e-05,9.19632e-05,9.19632e-05
90,5904.46,0.63609,0.47509,0.98248,0.93742,0.78712,0.86623,0.59091,1.08983,0.5624,1.2309,8.48946e-05,8.48946e-05,8.48946e-05
91,5978.72,0.63263,0.40755,0.97027,0.91443,0.79009,0.86224,0.57713,1.13704,0.59386,1.27786,7.7826e-05,7.7826e-05,7.7826e-05
92,6037.6,0.61425,0.3951,0.96107,0.91305,0.79994,0.87038,0.58294,1.113,0.57972,1.26175,7.07574e-05,7.07574e-05,7.07574e-05
93,6096.61,0.61113,0.39304,0.95766,0.92454,0.78589,0.86646,0.59104,1.10401,0.57272,1.26245,6.36888e-05,6.36888e-05,6.36888e-05
94,6155.61,0.60531,0.38921,0.95556,0.92326,0.79325,0.86951,0.58749,1.11424,0.56803,1.26831,5.66202e-05,5.66202e-05,5.66202e-05
95,6214.48,0.60229,0.38352,0.95095,0.9338,0.79244,0.87301,0.59115,1.08186,0.56695,1.2444,4.95516e-05,4.95516e-05,4.95516e-05
96,6273.46,0.59556,0.37976,0.95033,0.93354,0.79778,0.87055,0.59072,1.09134,0.57045,1.25839,4.2483e-05,4.2483e-05,4.2483e-05
97,6332.43,0.59,0.37527,0.94759,0.92642,0.80136,0.87369,0.59021,1.09965,0.56892,1.25791,3.54144e-05,3.54144e-05,3.54144e-05
98,6391.91,0.59072,0.38093,0.95214,0.92884,0.79507,0.87034,0.59131,1.09559,0.56939,1.253,2.83458e-05,2.83458e-05,2.83458e-05
99,6451.01,0.58533,0.37422,0.9487,0.91463,0.80067,0.87196,0.59361,1.08687,0.56916,1.24889,2.12772e-05,2.12772e-05,2.12772e-05
100,6509.94,0.58257,0.37238,0.94689,0.93341,0.79455,0.87372,0.59656,1.08751,0.56105,1.24692,1.42086e-05,1.42086e-05,1.42086e-05
